State,Season,MMWR Week,Week ending date,Age Category,Sex,Race,Rate,Cumulative Rate
California,2022-2023,12,03/25/2023 12:00:00 AM,Overall,Overall,Overall,0.2,29
California,2022-2023,13,04/01/2023 12:00:00 AM,Overall,Overall,Overall,0.1,29.2
California,2022-2023,14,04/08/2023 12:00:00 AM,Overall,Overall,Overall,0.1,29.3
California,2022-2023,15,04/15/2023 12:00:00 AM,Overall,Overall,Overall,0.1,29.4
California,2022-2023,16,04/22/2023 12:00:00 AM,Overall,Overall,Overall,0,29.4
California,2022-2023,17,04/29/2023 12:00:00 AM,Overall,Overall,Overall,0,29.4
California,2022-2023,18,05/06/2023 12:00:00 AM,Overall,Overall,Overall,0.1,29.5
California,2022-2023,19,05/13/2023 12:00:00 AM,Overall,Overall,Overall,0,29.5
California,2022-2023,20,05/20/2023 12:00:00 AM,Overall,Overall,Overall,0,29.5
California,2022-2023,21,05/27/2023 12:00:00 AM,Overall,Overall,Overall,0.1,29.6
California,2022-2023,22,06/03/2023 12:00:00 AM,Overall,Overall,Overall,0.1,29.7
California,2022-2023,23,06/10/2023 12:00:00 AM,Overall,Overall,Overall,0.1,29.8
California,2022-2023,24,06/17/2023 12:00:00 AM,Overall,Overall,Overall,0,29.8
California,2022-2023,25,06/24/2023 12:00:00 AM,Overall,Overall,Overall,0,29.8
California,2022-2023,26,07/01/2023 12:00:00 AM,Overall,Overall,Overall,0.1,29.9
California,2022-2023,27,07/08/2023 12:00:00 AM,Overall,Overall,Overall,0.1,29.9
California,2022-2023,28,07/15/2023 12:00:00 AM,Overall,Overall,Overall,0,29.9
California,2022-2023,29,07/22/2023 12:00:00 AM,Overall,Overall,Overall,0.1,30
California,2022-2023,30,07/29/2023 12:00:00 AM,Overall,Overall,Overall,0.1,30
California,2022-2023,31,08/05/2023 12:00:00 AM,Overall,Overall,Overall,0,30.1
California,2022-2023,32,08/12/2023 12:00:00 AM,Overall,Overall,Overall,0.1,30.2
California,2022-2023,33,08/19/2023 12:00:00 AM,Overall,Overall,Overall,0,30.2
California,2022-2023,34,08/26/2023 12:00:00 AM,Overall,Overall,Overall,0.1,30.3
California,2022-2023,35,09/02/2023 12:00:00 AM,Overall,Overall,Overall,0,30.3
California,2022-2023,36,09/09/2023 12:00:00 AM,Overall,Overall,Overall,0.2,30.5
California,2022-2023,37,09/16/2023 12:00:00 AM,Overall,Overall,Overall,0.3,30.8
California,2022-2023,38,09/23/2023 12:00:00 AM,Overall,Overall,Overall,0.1,30.9
California,2022-2023,39,09/30/2023 12:00:00 AM,Overall,Overall,Overall,0.2,31.1
Colorado,2022-2023,40,10/08/2022 12:00:00 AM,Overall,Overall,Overall,1.7,1.7
Colorado,2022-2023,41,10/15/2022 12:00:00 AM,Overall,Overall,Overall,2.3,4
Colorado,2022-2023,42,10/22/2022 12:00:00 AM,Overall,Overall,Overall,4.2,8.2
Colorado,2022-2023,43,10/29/2022 12:00:00 AM,Overall,Overall,Overall,4.6,12.8
Colorado,2022-2023,44,11/05/2022 12:00:00 AM,Overall,Overall,Overall,6.9,19.7
Colorado,2022-2023,45,11/12/2022 12:00:00 AM,Overall,Overall,Overall,11.4,31.1
Colorado,2022-2023,46,11/19/2022 12:00:00 AM,Overall,Overall,Overall,10.1,41.2
Colorado,2022-2023,47,11/26/2022 12:00:00 AM,Overall,Overall,Overall,10.3,51.5
Colorado,2022-2023,48,12/03/2022 12:00:00 AM,Overall,Overall,Overall,8.8,60.3
Colorado,2022-2023,49,12/10/2022 12:00:00 AM,Overall,Overall,Overall,6.5,66.8
Colorado,2022-2023,50,12/17/2022 12:00:00 AM,Overall,Overall,Overall,5.1,71.9
Colorado,2022-2023,51,12/24/2022 12:00:00 AM,Overall,Overall,Overall,3.1,74.9
Colorado,2022-2023,52,12/31/2022 12:00:00 AM,Overall,Overall,Overall,2.6,77.5
Colorado,2022-2023,1,01/07/2023 12:00:00 AM,Overall,Overall,Overall,2.3,79.9
Colorado,2022-2023,2,01/14/2023 12:00:00 AM,Overall,Overall,Overall,1.6,81.5
Colorado,2022-2023,3,01/21/2023 12:00:00 AM,Overall,Overall,Overall,1.7,83.2
Colorado,2022-2023,4,01/28/2023 12:00:00 AM,Overall,Overall,Overall,1.2,84.4
Colorado,2022-2023,5,02/04/2023 12:00:00 AM,Overall,Overall,Overall,0.8,85.2
Colorado,2022-2023,6,02/11/2023 12:00:00 AM,Overall,Overall,Overall,0.8,86
Colorado,2022-2023,7,02/18/2023 12:00:00 AM,Overall,Overall,Overall,0.8,86.8
Colorado,2022-2023,8,02/25/2023 12:00:00 AM,Overall,Overall,Overall,0.6,87.4
Colorado,2022-2023,9,03/04/2023 12:00:00 AM,Overall,Overall,Overall,0.3,87.7
Colorado,2022-2023,10,03/11/2023 12:00:00 AM,Overall,Overall,Overall,0.5,88.2
